127.0.0.1 - - [09/Apr/2022:12:36:45 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:36:46 +0800] "GET /kncoffee_project/customer/login.jsp HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:36:46 +0800] "GET /kncoffee_project/customer/js/jquery-3.4.1.js HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:36:46 +0800] "GET /kncoffee_project/customer/js/bootstrap.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:36:46 +0800] "GET /kncoffee_project/customer/;css/login.css HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:36:46 +0800] "GET /kncoffee_project/customer/;css/IMG_8457.jpg HTTP/1.1" 200 7576323
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:39:10 +0800] "GET /kncoffee_project/customer/login.jsp HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:39:10 +0800] "GET /kncoffee_project/customer/;css/login.css HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:39:10 +0800] "GET /kncoffee_project/customer/js/jquery-3.4.1.js HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:39:10 +0800] "GET /kncoffee_project/customer/js/bootstrap.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:39:10 +0800] "GET /kncoffee_project/customer/;css/IMG_8457.jpg HTTP/1.1" 200 7576323
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:40:09 +0800] "GET /kncoffee_project/customer/login.jsp HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:40:09 +0800] "GET /kncoffee_project/customer/;css/login.css HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:40:09 +0800] "GET /kncoffee_project/customer/js/jquery-3.4.1.js HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:40:09 +0800] "GET /kncoffee_project/customer/js/bootstrap.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:40:10 +0800] "GET /kncoffee_project/customer/;css/IMG_8457.jpg HTTP/1.1" 200 7576323
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:40:10 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:41:20 +0800] "POST /kncoffee_project/customer/loginController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:41:21 +0800] "GET /kncoffee_project/customer/loginSuccess.jsp HTTP/1.1" 200 4852
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:41:21 +0800] "GET /kncoffee_project/customer/page.jpg HTTP/1.1" 200 205365
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:43:29 +0800] "GET /kncoffee_project/porder/porder.jsp HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:43:29 +0800] "GET /kncoffee_project/porder/page.jpg HTTP/1.1" 200 205365
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:43:33 +0800] "GET /kncoffee_project/porder/addPorder.jsp HTTP/1.1" 200 6253
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:43:33 +0800] "GET /kncoffee_project/porder/photo/KALITA%20%E8%9D%B6%E7%95%AA%E4%BB%98%E6%89%8B%E6%B2%96%E5%A3%BA%200.7%E5%85%AC%E5%8D%87%20SWAN%20NECK%20KETTLE.jpg HTTP/1.1" 200 248572
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:43:33 +0800] "GET /kncoffee_project/porder/photo/HARIO%20V60%20Drip%20Scale%20HARIO%E9%9B%BB%E5%AD%90%E7%A7%A4.jpg HTTP/1.1" 200 134341
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:43:33 +0800] "GET /kncoffee_project/porder/photo/%E6%B3%B0%E6%91%A9%E5%86%B0%E7%9E%B3%E6%BF%BE%E6%9D%AFTIMEMORE%20CRYSTAL%20EYE%20DRIPPER.jpg HTTP/1.1" 200 285370
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:43:33 +0800] "GET /kncoffee_project/porder/photo/%E5%B7%B4%E8%A5%BF%20%E6%91%A9%E5%90%89%E5%AE%89%E5%A8%9C.jpg HTTP/1.1" 200 1384999
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:43:33 +0800] "GET /kncoffee_project/porder/photo/%E5%A4%A9%E5%A0%82%E9%B3%A5.jpg HTTP/1.1" 200 1431843
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:43:33 +0800] "GET /kncoffee_project/porder/photo/%E8%80%B6%E5%8A%A0%E9%9B%AA%E9%9D%9E%E6%97%A5%E6%9B%AC.jpg HTTP/1.1" 200 1357708
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:43:56 +0800] "POST /kncoffee_project/porder/confirm.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:44:20 +0800] "GET /kncoffee_project/porder/addPorderController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:44:20 +0800] "GET /kncoffee_project/porder/finish.jsp HTTP/1.1" 200 4218
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:45:07 +0800] "POST /kncoffee_project/porder/logoutController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:45:07 +0800] "GET /kncoffee_project/customer/login.jsp HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:45:07 +0800] "GET /kncoffee_project/customer/js/bootstrap.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:45:07 +0800] "GET /kncoffee_project/customer/js/jquery-3.4.1.js HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:45:07 +0800] "GET /kncoffee_project/customer/;css/IMG_8457.jpg HTTP/1.1" 200 7576323
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:43 +0800] "GET /kncoffee_project/customer/login.jsp HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:43 +0800] "GET /kncoffee_project/customer/js/bootstrap.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:43 +0800] "GET /kncoffee_project/customer/js/jquery-3.4.1.js HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:50 +0800] "POST /kncoffee_project/customer/loginController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:50 +0800] "GET /kncoffee_project/customer/loginSuccess.jsp HTTP/1.1" 200 4841
